El	O
señor	O
de	O
Kellynch	PERS	
Hall	O
en	O
Somersetshire	O
,	O
Sir	O
Walter	O
Elliot	O
,	O
era	O
un	O
hombre	O
que	O
no	O
hallaba	O
entretención	O
en	O
la	O
lectura	O
salvo	O
que	O
se	O
tratase	O
de	O
la	O
Crónica	O
de	O
los	O
baronets	O
.	O
Con	O
ese	O
libro	O
hacía	O
llevaderas	O
sus	O
horas	O
de	O
ocio	O
y	O
se	O
sentía	O
consolado	O
en	O
las	O
de	O
abatimiento	O
.	O
Su	O
alma	O
desbordaba	O
admiración	O
y	O
respeto	O
al	O
detenerse	O
en	O
lo	O
poco	O
que	O
quedaba	O
de	O
los	O
antiguos	O
privilegios	O
,	O
y	O
cualquier	O
sensación	O
desagradable	O
surgida	O
de	O
las	O
trivialidades	O
de	O
la	O
vida	O
doméstica	O
se	O
le	O
convertía	O
en	O
lástima	O
y	O
desprecio	O
.	O
Así	O
,	O
recorría	O
la	O
lista	O
casi	O
interminable	O
de	O
los	O
títulos	O
concedidos	O
en	O
el	O
último	O
siglo	O
,	O
y	O
allí	O
,	O
aunque	O
no	O
le	O
interesaran	O
demasiado	O
las	O
otras	O
páginas	O
,	O
podía	O
leer	O
con	O
ilusión	O
siempre	O
viva	O
su	O
propia	O
histo	O
